-17.917500,28.592400,1
-17.919000,28.592700,2
-17.917200,28.591600,3
-17.907400,28.586700,4
-17.909400,28.587200,5
-17.910300,28.587400,6
-17.910200,28.587400,7
-17.910800,28.586800,8
-17.910800,28.586700,9
-17.910000,28.586000,10
-17.909500,28.587500,11
-17.909400,28.586100,12
-17.910900,28.587500,13
-17.908800,28.585600,14
-17.911115,28.586905,15
-17.910532,28.586311,16
-17.909307,28.586695,17
-17.910700,28.586600,18
-17.909100,28.586300,19
-17.909600,28.586300,20
-17.909900,28.586700,21
-17.910200,28.587300,22
-17.910500,28.587000,23
-17.910700,28.587100,24
-17.911500,28.587500,25
-17.910700,28.588300,26
-17.909500,28.587500,27
-17.909400,28.585800,28
-17.910100,28.586300,29
-17.911300,28.588100,30
-17.910900,28.587700,31
-17.910500,28.587900,32
-17.910800,28.586800,33
-17.911600,28.586900,34
-17.910000,28.588100,35
-17.909400,28.585200,36
-17.909800,28.585500,37
-17.908700,28.585600,38
-17.909100,28.587000,39
-17.909100,28.587000,40
-17.909100,28.587000,41
-17.909100,28.587000,42
-17.909100,28.587000,43
-17.909100,28.587000,44
-17.909100,28.587000,45
-17.909100,28.587000,46
-17.909100,28.587000,47
-17.909100,28.587000,48
-17.909100,28.587000,49
-17.909100,28.587000,50
-17.909100,28.587000,51
-17.909100,28.587000,52
-17.909100,28.587000,53
